race_id,クラス,corrected_class
202601010110,その他,2勝
202601010111,その他,3勝
202601010112,その他,2勝
202601010210,その他,2勝
202601010212,その他,1勝
202601010309,その他,2勝
202601010311,その他,3勝
202601010312,その他,2勝
202601010410,その他,3勝
202601010412,その他,2勝
202601010510,その他,2勝
202601010512,その他,2勝
202601010610,その他,2勝
202601010612,その他,1勝
202601010710,その他,2勝
202601010711,その他,3勝
202601010712,その他,1勝
202601010809,その他,1勝
202601010810,その他,2勝
202601010812,その他,2勝
202601020110,その他,2勝
202601020111,その他,3勝
202601020112,その他,1勝
202601020209,その他,1勝
202601020210,その他,2勝
202601020212,その他,2勝
202601020311,その他,2勝
202601020312,その他,2勝
202601020410,その他,2勝
202601020411,その他,3勝
202601020412,その他,1勝
202604020106,その他,2勝
202604020107,その他,3勝
202604020108,その他,1勝
202604020206,その他,2勝
202604020208,その他,2勝
202604020306,その他,2勝
202604020307,その他,3勝
202604020308,その他,1勝
202604020406,その他,2勝
202604020408,その他,1勝
202604020506,その他,2勝
202604020606,その他,3勝
202604020608,その他,2勝
202604020706,その他,2勝
202604020707,その他,3勝
202604020708,その他,1勝
202604020806,その他,3勝
202604020808,その他,2勝
202604030106,その他,3勝
202604030108,その他,2勝
202604030206,その他,3勝
202604030208,その他,2勝
202604030306,その他,1勝
202604030307,その他,2勝
202604030406,その他,2勝
202604030407,その他,3勝
202604030409,その他,2勝
202606040309,その他,2勝
202606040310,その他,3勝
202606040409,その他,2勝
202606040410,その他,3勝
202607020106,その他,2勝
202607020107,その他,3勝
202607020108,その他,1勝
202607020206,その他,2勝
202607020208,その他,2勝
202607020306,その他,3勝
202607020307,その他,3勝
202607020308,その他,2勝
202607020406,その他,2勝
202607020408,その他,2勝
202607020506,その他,2勝
202607020507,その他,3勝
202607020508,その他,1勝
202607020606,その他,2勝
202607020608,その他,2勝
202607020706,その他,2勝
202607020707,その他,3勝
202607020708,その他,1勝
202607020806,その他,2勝
202607020808,その他,2勝
202607030106,その他,2勝
202607030107,その他,3勝
202607030108,その他,1勝
202607030206,その他,2勝
202607030208,その他,1勝
202607030306,その他,2勝
202607030307,その他,3勝
202607030308,その他,2勝
202607030406,その他,3勝
202607030408,その他,2勝
202609040309,その他,2勝
202609040310,その他,3勝
202609040409,その他,2勝
202609040410,その他,3勝
