母父,大血統
A.P. Indy,ナスルーラ系
Acatenango,その他系
Acclamation,ノーザンダンサー系
Action This Day,その他系
Ad Valorem,その他系
Adcat,その他系
Adelaide,その他系
Adios Charlie,その他系
Afleet Alex,その他系
After Market,その他系
Afternoon Deelites,その他系
Air Force Blue(米),その他系
Alamosa,その他系
Alex the Winner,その他系
Alex's Pal,その他系
Alhaarth,その他系
All American,その他系
Allen's Prospect,その他系
Almutawakel,その他系
Alphabet Soup,その他系
Alwuhush(米),その他系
Alzao,その他系
Amadeus Wolf(英),その他系
American Pharoah(米),ミスタープロスペクター系
American Post,その他系
Anabaa,その他系
Anabaa Blue,その他系
Anjaal,その他系
Anodin,その他系
Any Given Saturday,その他系
Aragorn,その他系
Arcano,その他系
Arch(米),ロベルト系
Archarcharch,その他系
Areion,その他系
Astrology,その他系
Astronomer Royal,その他系
Aussie Rules,その他系
Australia(英),その他系
Authorized,ノーザンダンサー系
Avenue of Flags,その他系
Awesome Again(加),ノーザンダンサー系
Awesome Gambler,その他系
Awesome of Course,その他系
Awtaad,その他系
Azamour(愛),その他系
Bahamian Bounty,その他系
Bahhare,その他系
Bahri(米),その他系
Ballingarry(愛),その他系
Bandini,その他系
Banker's Gold,その他系
Barathea,その他系
Bated Breath,その他系
Bay of Plenty,その他系
Beat Hollow,その他系
Bel Esprit,その他系
Bellamy Road,ノーザンダンサー系
Belong to Me,その他系
Bernardini(米),ナスルーラ系
Bernstein,ノーザンダンサー系
Bertolini,その他系
Bertrando,その他系
Big Bad Bob,その他系
Big Brown(米),ノーザンダンサー系
Big Shuffle(米),その他系
Birdstone,ミスタープロスペクター系
Black Minnaloushe(米),その他系
Blame,ロベルト系
Blu Air Force,その他系
Bluegrass Cat,その他系
Bodemeister,その他系
Born To Sea,その他系
Boundary,その他系
Bowman's Band,その他系
Brilliant Speed,その他系
Broad Brush,その他系
Broken Vow,ミスタープロスペクター系
Buddha,その他系
Burgundy,その他系
Burning Roma,その他系
Cactus Ridge,その他系
Cadeaux Genereux,その他系
Caerleon(米),その他系
