父父,大血統
A.P. Indy,ナスルーラ系
Acclamation,ノーザンダンサー系
American Pharoah(米),ミスタープロスペクター系
Arch(米),ロベルト系
Authorized,ノーザンダンサー系
Awesome Again(加),ノーザンダンサー系
Bellamy Road,ノーザンダンサー系
Bernardini(米),ナスルーラ系
Bernstein,ノーザンダンサー系
Big Brown(米),ノーザンダンサー系
Birdstone,ミスタープロスペクター系
Blame,ロベルト系
Bodemeister,その他系
Candy Ride,ミスタープロスペクター系
Candy Stripes,ナスルーラ系
Cape Cross,ノーザンダンサー系
Carson City,ミスタープロスペクター系
Choisir,その他系
City Zip(米),ミスタープロスペクター系
Congrats(米),ナスルーラ系
Constitution(米),ノーザンダンサー系
Cozzene,ナスルーラ系
Crafty Prospector,ミスタープロスペクター系
Curlin(米),ミスタープロスペクター系
Dalakhani,ナスルーラ系
Danehill Dancer(愛),ノーザンダンサー系
Danetime,その他系
Dansili,ノーザンダンサー系
Danzig,ノーザンダンサー系
Dark Angel,ノーザンダンサー系
Dawn Approach(愛),ノーザンダンサー系
Deputy Minister,ノーザンダンサー系
Devil His Due,その他系
Devil's Bag,その他系
Disco Rico,その他系
Distorted Humor(米),ミスタープロスペクター系
Dixie Union(米),ノーザンダンサー系
Dream Ahead,その他系
Dubai Millennium(英),その他系
Dubawi,ミスタープロスペクター系
Dutch Art(英),その他系
Dyhim Diamond,ノーザンダンサー系
Dynaformer,ロベルト系
E Dubai,その他系
El Prado,ノーザンダンサー系
Elusive Quality,ミスタープロスペクター系
English Channel,その他系
Exceed And Excel,ノーザンダンサー系
Extreme Choice,その他系
Fastnet Rock(豪),その他系
First Defence,ミスタープロスペクター系
First Samurai,その他系
Flatter,その他系
Flower Alley,ミスタープロスペクター系
Forest Wildcat,その他系
Forestry,ノーザンダンサー系
Frankel,ノーザンダンサー系
Freud,ノーザンダンサー系
Friesan Fire,その他系
Fusaichi Pegasus,ミスタープロスペクター系
Future Storm,その他系
Galileo(愛),ノーザンダンサー系
Giant's Causeway(米),ノーザンダンサー系
Gio Ponti(米),ノーザンダンサー系
Golden Horn(英),ノーザンダンサー系
Gone West,ミスタープロスペクター系
Green Desert,ノーザンダンサー系
Harlan's Holiday,ノーザンダンサー系
Havana Gold,ノーザンダンサー系
Helmet,ノーザンダンサー系
High Chaparral(愛),ノーザンダンサー系
I Am Invincible,その他系
Iffraaj,ミスタープロスペクター系
Iglesia,その他系
In the WingsIn The Wings(英),その他系
Indian Charlie,ナスルーラ系
Into Mischief,ノーザンダンサー系
Invincible Spirit(愛),ノーザンダンサー系
Kendor,その他系
Kingmambo(米),ミスタープロスペクター系
Kingman(英),ノーザンダンサー系
Kitten's Joy(米),ノーザンダンサー系
Kris S.,ロベルト系
Kyllachy,その他系
Langfuhr(加),ノーザンダンサー系
Lawyer Ron(米),その他系
Lemon Drop Kid,ミスタープロスペクター系
Leroidesanimaux,ナスルーラ系
Liam's Map,その他系
Lion Heart,ノーザンダンサー系
Lonhro(豪),その他系
Lookin At Lucky,その他系
Lope de Vega,ノーザンダンサー系
Lucky Pulpit,ナスルーラ系
Machiavellian,ミスタープロスペクター系
Macho Uno(米),その他系
Maclean's Music,ミスタープロスペクター系
Malibu Moon,ナスルーラ系
Maria's Mon,その他系
Marju(愛),ノーザンダンサー系
Mark of Esteem(愛),その他系
Marquetry,ミスタープロスペクター系
Mastercraftsman,その他系
Medaglia d'Oro,ノーザンダンサー系
Medicean,ミスタープロスペクター系
Midnight Lute,その他系
Mineshaft(米),ナスルーラ系
Miswaki,その他系
Monsun,その他系
Montjeu(愛),ノーザンダンサー系
More Than Ready,その他系
Mozart,ノーザンダンサー系
Mr. Prospector,ミスタープロスペクター系
Nashwan,ナスルーラ系
Nayef,その他系
New Approach,ノーザンダンサー系
Northern Meteor,ノーザンダンサー系
Not A Single Doubt,その他系
Noverre(米),その他系
Nureyev,ノーザンダンサー系
Oasis Dream(英),ナスルーラ系
Octagonal,その他系
Offlee Wild,その他系
Old Trieste,ナスルーラ系
Oxbow,その他系
Paynter,その他系
Pioneerof the Nile,ミスタープロスペクター系
Pivotal,ノーザンダンサー系
Polar Falcon,ノーザンダンサー系
Poseidon's Warrior,ミスタープロスペクター系
Posse,ミスタープロスペクター系
Pulpit,ナスルーラ系
Quality Road,ミスタープロスペクター系
Rahy,ナスルーラ系
Ramonti(仏),その他系
Raven's Pass,ミスタープロスペクター系
Real Quiet,ミスタープロスペクター系
Redoute's Choice,ノーザンダンサー系
Ride the Rails,その他系
Roman Ruler,ミスタープロスペクター系
Royal Applause,その他系
Sadler's Wells(米),ノーザンダンサー系
Scat Daddy(米),ノーザンダンサー系
Sea The StarsSea the Stars(愛),ノーザンダンサー系
Seeking the Gold,ミスタープロスペクター系
Shamardal(米),ノーザンダンサー系
Showcasing,その他系
Silver Buck,その他系
Silver Hawk,ロベルト系
Singspiel(愛),ノーザンダンサー系
Siyouni,ノーザンダンサー系
Smart Strike(加),ミスタープロスペクター系
So You Think(新),その他系
Speightstown(米),ミスタープロスペクター系
Storm Cat(米),ノーザンダンサー系
Street Cry(愛),ミスタープロスペクター系
Summer Squall(米),その他系
Super Saver,その他系
Tale of the Cat(米),ノーザンダンサー系
Tapit(米),ナスルーラ系
Teofilo,ノーザンダンサー系
Tertullian,その他系
Thorn Park,その他系
Unbridled,ミスタープロスペクター系
Unbridled's Song(米),ミスタープロスペクター系
Uncle Mo(米),ミスタープロスペクター系
Union Rags,ノーザンダンサー系
Violence,その他系
War Front,ノーザンダンサー系
Wild Again,その他系
Wildcat Heir,その他系
Wootton Bassett(英),その他系
Written Tycoon,その他系
Zabeel(新),その他系
Zafonic(米),ミスタープロスペクター系
アグネスタキオン,サンデーサイレンス系
アグネスデジタル,ミスタープロスペクター系
アッミラーレ,サンデーサイレンス系
アドマイヤオーラ,その他系
アドマイヤコジーン,ナスルーラ系
アドマイヤドン,ミスタープロスペクター系
アドマイヤムーン,ミスタープロスペクター系
アフリートAfleet(加),ミスタープロスペクター系
アルデバランIIAldebaran(米),ミスタープロスペクター系
ウォーエンブレムWar Emblem(米),ミスタープロスペクター系
ウォーニングWarning(英),その他系
エイシンサンディ,その他系
エイシンダンカーク,その他系
エスケンデレヤ,ノーザンダンサー系
エピファネイア,ロベルト系
エルコンドルパサー,ミスタープロスペクター系
エンドスウィープEnd Sweep(米),ミスタープロスペクター系
エンパイアメーカーEmpire Maker(米),ミスタープロスペクター系
オナーコード,その他系
オペラハウスOpera House(英),ノーザンダンサー系
オルフェーヴル,サンデーサイレンス系
カネヒキリ,その他系
カリズマティックCharismatic(米),ノーザンダンサー系
