馬ID,馬名,父,母,母父,父父,母母
2018105875,ディーバサンライズ,ダイワメジャー,カシュカシュ,アフリートAfleet(加),サンデーサイレンスSunday Silence(米),スリーソウツThree Thoughts(米)
2018105258,バンベルク,エピファネイア,ペルレンケッテ,ディープインパクト,シンボリクリスエス,プンティラPuntilla(独)
2018101134,リツィタル,ミッキーアイル,ザッハトルテ,クロフネ,ディープインパクト,パフェParfait(米)
2018102791,クレマチステソーロ,Kingman(英),ドゥケシーナDuchessina(米),Henrythenavigator(米),Invincible Spirit(愛),Dreamlike
2018101539,ペイシャケイティー,カレンブラックヒル,ヒシシャトル,ボストンハーバーBoston Harbor(米),ダイワメジャー,ヒシレイホウ
2018100570,セリシア,エイシンヒカリ,サワノパルファン,クロフネ,ディープインパクト,サワノプリマベーラ
2018102192,デクラーク,トーセンラー,メイショウガザニア,キングヘイロー,ディープインパクト,メイショウモモカ
2018102626,プレジャジンク,エピファネイア,クロストウショウ,アグネスタキオン,シンボリクリスエス,マザートウショウ
2018103582,メルティング,キンシャサノキセキ,カルナヴァレ,ローエングリン,フジキセキ,プットオンジュエル
2018101518,リトルロータス,ブラックタイド,パパラチア,グラスワンダー,サンデーサイレンスSunday Silence(米),ラッキーソングIILucky Song(米)
2018106100,ニースバローズ,オルフェーヴル,ビーウインド,スピニングワールドSpinning World(米),ステイゴールド,ビクトリーマッハ
2018101447,マイネルニゲラ,ジョーカプチーノ,シーナリー,Scat Daddy(米),マンハッタンカフェ,Favorite Pic
2018109106,ルーチェビアンカ,ディープブリランテ,ボーナスチャンス,エンパイアメーカーEmpire Maker(米),ディープインパクト,ポンテペルレ
2018106896,ワンダードゥヴァン,ネオユニヴァース,ワンダートロワ,アルデバランIIAldebaran(米),サンデーサイレンスSunday Silence(米),ワンダーマドンナ
2018104780,ミエノベルル,エピファネイア,ベルルミエール,スウェプトオーヴァーボードSwept Overboard(米),シンボリクリスエス,フレンチビキニ
2018100737,キッズリッカリッカ,ドゥラメンテ,ヤマノラヴ,アグネスデジタル,キングカメハメハ,ヤマノバイオレット
2018105205,ペイルライダー,ルーラーシップ,ピサノグラフ,サンデーサイレンスSunday Silence(米),キングカメハメハ,シンコウラブリイ
2018100974,デルマフゲン,トーセンジョーダン,デルマシズカチャン,スウィフトカレント,ジャングルポケット,アドマイヤアイリス
2018104870,ラリマールース,ローエングリン,ロマンシングジェム,アグネスタキオン,Singspiel(愛),ルビーRuby(愛)
2018106453,メイショウメイロウ,クリエイターIICreator(米),タイヨウノコ,エンパイアメーカーEmpire Maker(米),Tapit(米),ムーンライトソナタ
2018100926,マテンロウステラ,キングカメハメハ,スウィートアンドセイヴォリーSweet and Savory(米),Storm Cat(米),Kingmambo(米),Sweet Life
2018102052,クアドリフォリオ,バゴBago(仏),スーリール,スペシャルウィーク,Nashwan,グローリーブラッド
2018103196,ナイルローズ,トゥザグローリー,カイロローズCairo Rose(英),Sadler's Wells(米),キングカメハメハ,Insinuate
2018101898,キーアクティヴ,エスポワールシチー,キーステージ,ジェニュイン,ゴールドアリュール,キードール
2018102542,カガノワール,キンシャサノキセキ,ケルティックハープ,クロフネ,フジキセキ,アイリッシュカーリ
2018103594,ビーアップ,シニスターミニスターSinister Minister(米),タマモペンライト,ブラックタイド,Old Trieste,チャームライト
2018106609,プレカーリー,マクフィMakfi(英),ミナレット,スズカマンボ,Dubawi,ノワゼット
2018100435,エラキス,ダノンシャーク,ボニーアクション,Cat Thief,ディープインパクト,メインリーMainly(加)
2018105770,クイントン,ラブリーデイ,ファミッリア,Holy Bull(米),キングカメハメハ,Knight Prospector
2018100706,セイカリネット,ジョーカプチーノ,セイカカロブ,Sadler's Wells(米),マンハッタンカフェ,サンデーズシスSunday's Sis(米)
2018100403,エレファンティネ,American Pharoah(米),スウィーティーガールSweetie Girl(亜),Star Dabbler,Pioneerof the Nile,Santiaga
2018105166,ファイヤービート,アジアエクスプレス,ナイアガラロール,Bluegrass Cat,ヘニーヒューズHenny Hughes(米),Giggly
2018102691,ハクサンタマテバコ,ハクサンムーン,ダイアンスマイル,ロックオブジブラルタル,アドマイヤムーン,セイカシリアス
2018100708,デイジームーン,ヘニーハウンド,ファストムーン,アドマイヤムーン,ヘニーヒューズHenny Hughes(米),レインボーファスト
